time,city,pm2_5,pm10,ozone
2025-12-11 00:00:00,Bengaluru,50.9,53.3,119
2025-12-11 00:00:00,Kolkata,187.2,190.5,44
2025-12-11 00:00:00,Mumbai,30.7,30.7,26
2025-12-11 00:00:00,Bengaluru,50.9,53.3,119
2025-12-11 00:00:00,Delhi,105.2,106.2,45
2025-12-11 00:00:00,Bengaluru,50.9,53.3,119
2025-12-11 00:00:00,Bengaluru,50.9,53.3,119
2025-12-11 00:00:00,Bengaluru,50.9,53.3,119
2025-12-11 00:00:00,Bengaluru,50.9,53.3,119
2025-12-11 00:00:00,Hyderabad,29.5,30.4,92
2025-12-11 01:00:00,Bengaluru,53.9,56.2,120
2025-12-11 01:00:00,Bengaluru,53.9,56.2,120
2025-12-11 01:00:00,Mumbai,29.8,29.9,23
2025-12-11 01:00:00,Bengaluru,53.9,56.2,120
2025-12-11 01:00:00,Kolkata,183.9,186.3,57
2025-12-11 01:00:00,Delhi,110.1,111.1,37
2025-12-11 01:00:00,Bengaluru,53.9,56.2,120
2025-12-11 01:00:00,Bengaluru,53.9,56.2,120
2025-12-11 01:00:00,Bengaluru,53.9,56.2,120
2025-12-11 01:00:00,Hyderabad,29.0,29.7,86
2025-12-11 02:00:00,Bengaluru,57.5,59.8,120
2025-12-11 02:00:00,Bengaluru,57.5,59.8,120
2025-12-11 02:00:00,Mumbai,32.2,32.4,24
2025-12-11 02:00:00,Bengaluru,57.5,59.8,120
2025-12-11 02:00:00,Bengaluru,57.5,59.8,120
2025-12-11 02:00:00,Bengaluru,57.5,59.8,120
2025-12-11 02:00:00,Kolkata,176.0,178.3,76
2025-12-11 02:00:00,Bengaluru,57.5,59.8,120
2025-12-11 02:00:00,Delhi,124.3,125.3,28
2025-12-11 02:00:00,Hyderabad,30.2,30.7,79
2025-12-11 03:00:00,Bengaluru,58.2,60.8,123
2025-12-11 03:00:00,Bengaluru,58.2,60.8,123
2025-12-11 03:00:00,Bengaluru,58.2,60.8,123
2025-12-11 03:00:00,Mumbai,36.2,36.3,40
2025-12-11 03:00:00,Bengaluru,58.2,60.8,123
2025-12-11 03:00:00,Kolkata,167.2,169.0,102
2025-12-11 03:00:00,Bengaluru,58.2,60.8,123
2025-12-11 03:00:00,Hyderabad,27.1,27.4,82
2025-12-11 03:00:00,Delhi,130.4,131.3,36
2025-12-11 03:00:00,Bengaluru,58.2,60.8,123
2025-12-11 04:00:00,Bengaluru,53.4,56.7,135
2025-12-11 04:00:00,Mumbai,38.8,38.8,84
2025-12-11 04:00:00,Hyderabad,21.7,22.0,105
2025-12-11 04:00:00,Kolkata,154.6,156.9,142
2025-12-11 04:00:00,Bengaluru,53.4,56.7,135
2025-12-11 04:00:00,Bengaluru,53.4,56.7,135
2025-12-11 04:00:00,Bengaluru,53.4,56.7,135
2025-12-11 04:00:00,Bengaluru,53.4,56.7,135
2025-12-11 04:00:00,Bengaluru,53.4,56.7,135
2025-12-11 04:00:00,Delhi,123.9,124.3,79
2025-12-11 05:00:00,Hyderabad,18.5,18.9,139
2025-12-11 05:00:00,Delhi,110.8,111.5,139
2025-12-11 05:00:00,Bengaluru,45.5,48.4,150
2025-12-11 05:00:00,Mumbai,39.7,39.7,143
2025-12-11 05:00:00,Bengaluru,45.5,48.4,150
2025-12-11 05:00:00,Kolkata,127.6,131.3,189
2025-12-11 05:00:00,Bengaluru,45.5,48.4,150
2025-12-11 05:00:00,Bengaluru,45.5,48.4,150
2025-12-11 05:00:00,Bengaluru,45.5,48.4,150
2025-12-11 05:00:00,Bengaluru,45.5,48.4,150
2025-12-11 06:00:00,Mumbai,38.6,38.6,198
2025-12-11 06:00:00,Bengaluru,40.7,43.1,160
2025-12-11 06:00:00,Bengaluru,40.7,43.1,160
2025-12-11 06:00:00,Delhi,90.3,91.0,183
2025-12-11 06:00:00,Bengaluru,40.7,43.1,160
2025-12-11 06:00:00,Bengaluru,40.7,43.1,160
2025-12-11 06:00:00,Bengaluru,40.7,43.1,160
2025-12-11 06:00:00,Hyderabad,16.8,17.2,163
2025-12-11 06:00:00,Bengaluru,40.7,43.1,160
2025-12-11 06:00:00,Kolkata,90.6,96.6,223
2025-12-11 07:00:00,Bengaluru,38.2,40.2,161
2025-12-11 07:00:00,Bengaluru,38.2,40.2,161
2025-12-11 07:00:00,Mumbai,40.2,40.2,248
2025-12-11 07:00:00,Bengaluru,38.2,40.2,161
2025-12-11 07:00:00,Bengaluru,38.2,40.2,161
2025-12-11 07:00:00,Bengaluru,38.2,40.2,161
2025-12-11 07:00:00,Bengaluru,38.2,40.2,161
2025-12-11 07:00:00,Hyderabad,16.3,16.6,171
2025-12-11 07:00:00,Delhi,71.2,71.9,199
2025-12-11 07:00:00,Kolkata,82.0,88.5,236
2025-12-11 08:00:00,Bengaluru,36.4,38.5,157
2025-12-11 08:00:00,Mumbai,47.4,47.4,292
2025-12-11 08:00:00,Bengaluru,36.4,38.5,157
2025-12-11 08:00:00,Bengaluru,36.4,38.5,157
2025-12-11 08:00:00,Bengaluru,36.4,38.5,157
2025-12-11 08:00:00,Bengaluru,36.4,38.5,157
2025-12-11 08:00:00,Kolkata,78.5,84.8,236
2025-12-11 08:00:00,Hyderabad,15.7,16.0,169
2025-12-11 08:00:00,Delhi,61.7,62.2,199
2025-12-11 08:00:00,Bengaluru,36.4,38.5,157
2025-12-11 09:00:00,Bengaluru,36.2,38.3,150
2025-12-11 09:00:00,Bengaluru,36.2,38.3,150
2025-12-11 09:00:00,Hyderabad,15.0,15.3,163
2025-12-11 09:00:00,Delhi,55.5,56.0,188
2025-12-11 09:00:00,Bengaluru,36.2,38.3,150
2025-12-11 09:00:00,Mumbai,49.5,49.7,313
2025-12-11 09:00:00,Bengaluru,36.2,38.3,150
2025-12-11 09:00:00,Bengaluru,36.2,38.3,150
2025-12-11 09:00:00,Bengaluru,36.2,38.3,150
2025-12-11 09:00:00,Kolkata,77.3,83.6,226
2025-12-11 10:00:00,Bengaluru,36.8,38.9,141
2025-12-11 10:00:00,Hyderabad,14.6,15.0,152
2025-12-11 10:00:00,Mumbai,47.8,48.3,293
2025-12-11 10:00:00,Bengaluru,36.8,38.9,141
2025-12-11 10:00:00,Bengaluru,36.8,38.9,141
2025-12-11 10:00:00,Bengaluru,36.8,38.9,141
2025-12-11 10:00:00,Bengaluru,36.8,38.9,141
2025-12-11 10:00:00,Delhi,52.0,52.5,163
2025-12-11 10:00:00,Bengaluru,36.8,38.9,141
2025-12-11 10:00:00,Kolkata,77.1,82.9,204
2025-12-11 11:00:00,Bengaluru,38.3,40.2,129
2025-12-11 11:00:00,Bengaluru,38.3,40.2,129
2025-12-11 11:00:00,Delhi,55.1,55.4,126
2025-12-11 11:00:00,Mumbai,43.7,44.4,250
2025-12-11 11:00:00,Bengaluru,38.3,40.2,129
2025-12-11 11:00:00,Bengaluru,38.3,40.2,129
2025-12-11 11:00:00,Bengaluru,38.3,40.2,129
2025-12-11 11:00:00,Bengaluru,38.3,40.2,129
2025-12-11 11:00:00,Kolkata,95.5,100.1,173
2025-12-11 11:00:00,Hyderabad,14.6,15.0,136
2025-12-11 12:00:00,Kolkata,120.6,125.7,142
2025-12-11 12:00:00,Hyderabad,18.1,18.4,119
2025-12-11 12:00:00,Mumbai,35.5,36.3,209
2025-12-11 12:00:00,Bengaluru,41.9,43.4,116
2025-12-11 12:00:00,Bengaluru,41.9,43.4,116
2025-12-11 12:00:00,Bengaluru,41.9,43.4,116
2025-12-11 12:00:00,Bengaluru,41.9,43.4,116
2025-12-11 12:00:00,Delhi,69.6,69.8,94
2025-12-11 12:00:00,Bengaluru,41.9,43.4,116
2025-12-11 12:00:00,Bengaluru,41.9,43.4,116
2025-12-11 13:00:00,Bengaluru,47.0,48.2,101
2025-12-11 13:00:00,Bengaluru,47.0,48.2,101
2025-12-11 13:00:00,Bengaluru,47.0,48.2,101
2025-12-11 13:00:00,Bengaluru,47.0,48.2,101
2025-12-11 13:00:00,Mumbai,27.4,28.5,181
2025-12-11 13:00:00,Hyderabad,24.0,24.3,102
2025-12-11 13:00:00,Bengaluru,47.0,48.2,101
2025-12-11 13:00:00,Bengaluru,47.0,48.2,101
2025-12-11 13:00:00,Delhi,85.2,85.4,70
2025-12-11 13:00:00,Kolkata,145.3,149.9,114
2025-12-11 14:00:00,Hyderabad,27.8,28.2,84
